Player,Span,Mat,Inns,NO,Runs,HS,Ave
P Amarnath,2008-2008,6,-,-,-,-,-
KK Ahmed,2025-2025,12,2,2,1,1*,-
Akash Singh,2023-2023,6,-,-,-,-,-
MM Ali,2021-2024,48,40,4,853,93,23.69
S Anirudha,2008-2013,19,12,5,133,64,19.00
KB Arun Karthik,2010-2010,1,1,1,3,3*,-
R Ashwin,2009-2025,105,34,11,210,23,9.13
KM Asif,2018-2021,3,-,-,-,-,-
S Badree,2014-2014,4,-,-,-,-,-
S Badrinath,2008-2013,95,67,20,1441,71*,30.65
GJ Bailey,2009-2010,4,3,-,63,30,21.00
L Balaji,2008-2010,29,8,2,22,15,3.66
SW Billings,2018-2019,11,9,-,108,56,12.00
DE Bollinger,2010-2012,27,4,3,21,16*,21.00
DJ Bravo,2011-2022,116,75,35,1004,68,25.10
D Brevis,2025-2025,4,4,-,126,52,31.50
DL Chahar,2018-2024,76,12,6,66,39,11.00
PP Chawla,2020-2020,7,-,-,-,-,-
DP Conway,2022-2025,27,26,3,1018,92*,44.26
SM Curran,2020-2025,28,20,4,356,88,22.25
TU Deshpande,2022-2024,31,2,2,-,0*,-
MS Dhoni,2008-2025,246,214,91,4849,84*,39.42
S Dube,2022-2025,53,51,10,1404,95*,34.24
F du Plessis,2012-2021,92,86,9,2721,96,35.33
NT Ellis,2025-2025,1,-,-,-,-,-
SP Fleming,2008-2008,10,10,1,196,45,21.77
A Flintoff,2009-2009,3,3,1,62,24,31.00
RD Gaikwad,2020-2025,71,70,8,2502,108*,40.35
C Ganapathy,2010-2010,1,1,1,-,0*,-
RJ Gleeson,2024-2024,2,1,1,2,2*,-
MS Gony,2008-2010,26,9,5,50,15*,12.50
RS Hangargekar,2023-2023,2,-,-,-,-,-
Harbhajan Singh,2018-2019,24,4,-,30,19,7.50
JW Hastings,2014-2014,1,-,-,-,-,-
ML Hayden,2008-2010,32,32,2,1107,93,36.90
JR Hazlewood,2020-2021,12,-,-,-,-,-
BW Hilfenhaus,2012-2014,17,1,1,-,0*,-
JO Holder,2013-2013,6,-,-,-,-,-
DJ Hooda,2025-2025,6,5,-,31,22,6.20
DJ Hussey,2014-2014,5,4,2,116,50*,58.00
MEK Hussey,2008-2015,50,49,7,1768,116*,42.09
Imran Tahir,2018-2021,27,3,3,15,13*,-
RA Jadeja,2012-2025,184,137,61,2176,77*,28.63
KM Jadhav,2018-2020,23,18,6,248,58,20.66
N Jagadeesan,2020-2022,7,4,1,73,39*,24.33
SB Jakati,2009-2012,50,7,6,27,13,27.00
Joginder Sharma,2008-2011,16,6,2,36,16*,9.00
CJ Jordan,2022-2022,4,2,1,11,6*,11.00
S Randiv,2011-2011,8,1,-,2,2,2.00
A Kamboj,2025-2025,6,4,2,9,4*,4.50
CK Kapugedera,2008-2008,5,3,-,16,8,5.33
JM Kemp,2010-2010,5,2,-,26,22,13.00
SC Kuggeleijn,2019-2019,2,-,-,-,-,-
KMDN Kulasekara,2011-2012,6,1,1,5,5*,-
B Laughlin,2013-2013,2,2,1,4,4*,4.00
BB McCullum,2014-2015,28,28,2,841,100*,32.34
SSB Magala,2023-2023,2,-,-,-,-,-
VY Mahesh,2012-2012,5,-,-,-,-,-
M Manhas,2014-2014,12,5,3,35,13*,17.50
A Mhatre,2025-2025,5,5,-,163,94,32.60
AF Milne,2022-2022,1,-,-,-,-,-
DJ Mitchell,2024-2024,13,13,2,318,63,28.90
Monu Kumar,2020-2020,1,-,-,-,-,-
RG More,2015-2015,2,1,1,2,2*,-
JA Morkel,2008-2013,78,59,24,827,71,23.62
CH Morris,2013-2013,16,6,4,14,7*,7.00
Mukesh Choudhary,2022-2025,16,2,1,6,4,6.00
A Mukund,2008-2008,2,1,-,-,-,-
M Muralidaran,2008-2010,40,6,2,9,4,2.25
Mustafizur Rahman,2024-2024,9,-,-,-,-,-
DP Nannes,2013-2013,5,1,1,-,0*,-
P Negi,2014-2015,12,9,1,116,36,14.50
A Nehra,2014-2015,20,4,3,1,1*,1.00
L Ngidi,2018-2021,14,-,-,-,-,-
Noor Ahmad,2025-2025,12,5,1,5,2,1.25
M Ntini,2008-2008,9,2,1,11,11,11.00
