Player,Mat,inns,NO,runs,BF,HS
KL Rahul,7,7,2,323,210,93*
T Stubbs,8,7,4,183,114,38*
AR Sharma,7,5,2,136,76,66*
KK Nair,4,4,-,135,70,89
Abishek Porel,8,8,1,225,154,51
AR Patel,8,7,1,174,108,39
F du Plessis,3,3,-,81,52,50
V Nigam,8,4,1,54,26,39
Sameer Rizvi,2,2,-,24,19,20
J Fraser-McGurk,6,6,-,55,52,38
Kuldeep Yadav,8,3,1,10,7,5
MA Starc,8,3,2,5,8,2*
D Ferreira,1,1,-,1,3,1
MM Sharma,7,2,1,1,3,1*
PVD Chameera,1,-,-,-,0,-
Mukesh Kumar,8,-,-,-,0,-
Kuldeep Yadav,2025-2025,8,8,32.0,-,208
PVD Chameera,2025-2025,1,1,3.0,-,25
MA Starc,2025-2025,8,8,29.0,-,292
Mukesh Kumar,2025-2025,8,8,26.0,1,243
V Nigam,2025-2025,8,8,22.0,-,203
MM Sharma,2025-2025,7,7,21.0,-,210
AR Patel,2025-2025,8,8,23.0,-,207
T Stubbs,2025-2025,8,2,2.0,-,40
Abishek Porel,2025-2025,8,-,0.0,-,-
F du Plessis,2025-2025,3,-,0.0,-,-
D Ferreira,2025-2025,1,-,0.0,-,-
J Fraser-McGurk,2025-2025,6,-,0.0,-,-
KK Nair,2025-2025,4,-,0.0,-,-
KL Rahul,2025-2025,7,-,0.0,-,-
Sameer Rizvi,2025-2025,2,-,0.0,-,-
AR Sharma,2025-2025,7,-,0.0,-,-
