Player,Span,Mat,Inns,NO,Runs,HS,Ave
S Ladda,2011-2013,3,-,-,-,-,-
AB Agarkar,2008-2010,27,17,9,160,39,20.00
MM Ali,2025-2025,6,2,-,5,5,2.50
Aman Hakim Khan,2022-2022,1,1,-,5,5,5.00
Anureet Singh,2009-2009,3,-,-,-,-,-
VG Arora,2023-2025,26,5,4,4,2*,4.00
Azhar Mahmood,2015-2015,1,1,-,6,6,6.00
L Balaji,2011-2013,35,5,4,13,9*,13.00
SB Bangar,2009-2009,1,1,-,2,2,2.00
T Banton,2020-2020,2,2,-,18,10,9.00
R Bhatia,2011-2013,46,22,10,159,26*,13.25
SW Billings,2022-2022,8,8,1,169,36,24.14
MS Bisla,2011-2014,27,27,1,543,92,20.88
SE Bond,2010-2010,8,1,-,1,1,1.00
J Botha,2015-2015,4,3,-,31,17,10.33
MV Boucher,2011-2011,4,3,2,6,5,6.00
TA Boult,2017-2017,6,1,1,5,5*,-
CR Brathwaite,2019-2019,2,2,-,11,6,5.50
DM Bravo,2017-2017,1,1,1,6,6*,-
KC Cariappa,2015-2019,2,1,1,9,9*,-
PVD Chameera,2024-2024,1,-,-,-,-,-
PP Chawla,2014-2019,70,29,11,183,22,10.16
A Chopra,2008-2009,7,6,-,53,24,8.83
NM Coulter-Nile,2017-2017,8,3,-,14,6,4.66
PJ Cummins,2014-2022,30,22,7,302,66*,20.13
TK Curran,2018-2018,5,4,1,23,18,7.66
DB Das,2008-2013,31,22,8,304,35*,21.71
C de Grandhomme,2017-2017,12,9,1,126,36,15.75
Q de Kock,2025-2025,7,7,1,143,97*,23.83
M de Lange,2012-2012,3,-,-,-,-,-
JL Denly,2019-2019,1,1,-,-,-,-
AB Dinda,2008-2010,29,6,2,4,2,1.00
P Dogra,2013-2013,1,1,-,5,5,5.00
LH Ferguson,2019-2023,21,5,5,61,24*,-
AJ Finch,2022-2022,5,5,-,86,58,17.20
G Gambhir,2011-2017,108,108,12,3035,93,31.61
SC Ganguly,2008-2010,40,38,2,1031,91,28.63
RS Gavaskar,2010-2010,2,1,-,2,2,2.00
CH Gayle,2009-2010,16,16,1,463,88,30.86
AN Ghosh,2009-2009,2,2,-,7,7,3.50
SP Goswami,2011-2011,5,4,-,29,22,7.25
CJ Green,2020-2020,1,-,-,-,-,-
HF Gurney,2019-2019,8,1,1,1,1*,-
BJ Haddin,2011-2011,1,1,-,18,18,18.00
Harbhajan Singh,2021-2021,3,2,2,4,2*,-
Harpreet Singh,2010-2010,1,-,-,-,-,-
Harshit Rana,2022-2025,33,9,4,25,10*,5.00
JW Hastings,2016-2016,2,-,-,-,-,-
MC Henriques,2009-2009,4,3,1,38,30*,19.00
BJ Hodge,2008-2010,19,19,3,476,73,29.75
GB Hogg,2015-2016,11,3,2,7,5,7.00
JO Holder,2016-2016,4,4,-,22,13,5.50
DJ Hussey,2008-2010,23,23,4,511,71,26.89
B Indrajith,2022-2022,3,3,-,21,15,7.00
Iqbal Abdulla,2008-2013,33,8,8,26,12*,-
SS Iyer,2022-2024,29,28,6,752,85,34.18
VR Iyer,2021-2025,62,56,7,1468,104,29.95
SP Jackson,2017-2022,9,8,2,61,16,10.16
N Jagadeesan,2023-2023,6,6,-,89,36,14.83
IR Jaggi,2017-2017,2,2,1,33,28,33.00
MG Johnson,2018-2018,6,2,2,16,12*,-
SH Johnson,2025-2025,4,2,2,2,1*,-
JH Kallis,2011-2014,56,54,5,1295,80*,26.42
KD Karthik,2018-2021,61,58,18,1143,97*,28.57
M Kartik,2008-2010,26,7,2,73,21,14.60
K Khejroliya,2023-2023,2,-,-,-,-,-
Kuldeep Yadav,2016-2020,45,11,5,57,16,9.50
CK Langeveldt,2009-2010,4,1,-,-,-,-
B Lee,2011-2013,25,9,3,68,25,11.33
Litton Das,2023-2023,1,1,-,4,4,4.00
CA Lynn,2014-2019,40,40,3,1274,93*,34.43
BB McCullum,2008-2013,35,35,3,882,158*,27.56
R McLaren,2013-2013,2,2,-,3,2,1.50
Mandeep Singh,2010-2023,6,5,-,18,12,3.60
Mashrafe Mortaza,2009-2009,1,1,1,2,2*,-
AD Mathews,2009-2010,15,12,4,249,65*,31.12
BAW Mendis,2008-2010,7,2,1,1,1*,1.00
Mohammad Hafeez,2008-2008,8,8,1,64,16,9.14
Mohammed Shami,2013-2013,3,1,-,5,5,5.00
EJG Morgan,2011-2021,57,52,10,995,68*,23.69
M Morkel,2014-2016,29,5,5,9,4*,-
C Munro,2016-2016,4,3,-,30,16,10.00
KL Nagarkoti,2020-2021,11,7,3,22,8*,5.50
NS Naik,2019-2020,2,2,-,8,7,4.00
SP Narine,2012-2025,188,121,21,1749,109,17.49
S Narwal,2013-2013,2,1,-,23,23,23.00
A Nortje,2025-2025,1,1,1,-,0*,-
MK Pandey,2014-2025,58,55,13,1367,94,32.54
MB Parmar,2010-2010,1,-,-,-,-,-
YK Pathan,2011-2017,106,91,31,1893,72,31.55
RT Ponting,2008-2008,4,4,-,39,20,9.75
R Powell,2025-2025,2,1,-,5,5,5.00
M Prasidh Krishna,2018-2021,34,7,5,3,2*,1.50
Y Prithvi Raj,2019-2019,2,1,1,-,0*,-
CA Pujara,2010-2010,10,6,2,122,45*,30.50
A Raghuvanshi,2024-2025,21,17,2,449,54,29.93
AM Rahane,2022-2025,19,18,1,508,61,29.88
Rahmanullah Gurbaz,2023-2025,19,18,1,363,81,21.35
AS Rajpoot,2016-2017,9,1,-,4,4,4.00
Ramandeep Singh,2024-2025,25,15,7,159,35,19.87
N Rana,2018-2024,90,86,8,2199,87,28.19
Rasikh Salam,2022-2022,2,1,-,7,7,7.00
AS Roy,2022-2025,11,7,3,26,13*,6.50
JJ Roy,2023-2023,8,8,-,285,61,35.62
AD Russell,2014-2025,132,110,21,2593,88*,29.13
WP Saha,2008-2010,33,24,13,298,59*,27.09
C Sakariya,2025-2025,1,-,-,-,-,-
Salman Butt,2008-2008,7,7,-,193,73,27.57
PD Salt,2024-2024,12,12,1,435,89*,39.54
S Sandeep Warrier,2019-2021,5,-,-,-,-,-
PJ Sangwan,2012-2013,3,1,1,4,4*,-
SS Sarkar,2009-2009,2,-,-,-,-,-
R Sathish,2016-2016,4,3,-,24,10,8.00
JPR Scantlebury-Searles,2018-2018,4,2,1,8,6*,8.00
TL Seifert,2021-2021,1,1,-,2,2,2.00
SMSM Senanayake,2013-2013,8,4,3,10,7*,10.00
OA Shah,2010-2010,5,5,3,115,58*,57.50
SS Shaikh,2009-2009,2,1,-,6,6,6.00
Shakib Al Hasan,2011-2021,51,38,10,545,66*,19.46
I Sharma,2008-2010,31,11,7,33,9,8.25
Shivam Mavi,2018-2022,32,12,3,51,20,5.66
Shoaib Akhtar,2008-2008,3,1,-,2,2,2.00
Shubman Gill,2018-2021,58,55,10,1417,76,31.48
LR Shukla,2008-2013,42,31,7,374,48*,15.58
RK Singh,2018-2025,58,50,15,1090,67*,31.14
TG Southee,2021-2023,14,6,1,5,3,1.00
MA Starc,2024-2024,14,5,3,9,6*,4.50
Suyash Sharma,2023-2024,13,-,-,-,-,-
T Taibu,2008-2008,3,3,-,31,15,10.33
RN ten Doeschate,2011-2015,29,22,8,326,70*,23.28
SN Thakur,2023-2023,11,10,2,113,68,14.12
MK Tiwary,2010-2013,54,49,15,1002,75*,29.47
A Tomar,2022-2022,1,1,-,4,4,4.00
RA Tripathi,2020-2021,28,27,3,627,81,26.12
Umar Gul,2008-2008,6,4,1,39,24,13.00
JD Unadkat,2010-2016,12,-,-,-,-,-
RV Uthappa,2014-2019,86,84,4,2439,87,30.48
MN van Wyk,2009-2009,5,5,2,167,74,55.66
CV Varun,2020-2025,82,13,9,26,10*,6.50
R Vinay Kumar,2014-2018,11,5,3,10,6*,5.00
D Wiese,2023-2023,3,3,2,21,12*,21.00
CR Woakes,2017-2017,13,7,3,46,18,11.50
SA Yadav,2014-2017,54,41,14,608,60,22.51
UT Yadav,2014-2023,67,23,14,124,24*,13.77
Yashpal Singh,2009-2009,8,4,-,47,20,11.75
