Player,Span,Mat,Inns,NO,Runs,HS,Ave
Abdul Samad,2025-2025,10,10,3,160,45,22.85
Akash Deep,2025-2025,4,1,-,-,-,-
Akash Singh,2025-2025,1,-,-,-,-,-
Arshad Khan,2024-2024,4,4,2,83,58*,41.50
Avesh Khan,2022-2025,32,9,7,43,19*,21.50
A Badoni,2022-2025,53,45,10,960,74,27.42
PVD Chameera,2022-2022,12,8,4,43,17,10.75
Q de Kock,2022-2024,30,30,1,901,140*,31.06
K Gowtham,2022-2024,12,8,3,61,23,12.20
MJ Henry,2024-2024,4,-,-,-,-,-
Himmat Singh,2025-2025,1,-,-,-,-,-
JO Holder,2022-2022,12,8,2,58,16,9.66
DJ Hooda,2022-2024,38,35,2,680,59,20.60
S Joseph,2024-2024,1,-,-,-,-,-
AA Kulkarni,2024-2024,2,2,-,9,9,4.50
E Lewis,2022-2022,6,5,2,73,55*,24.33
PN Mankad,2023-2023,5,5,2,93,64*,31.00
AK Markram,2025-2025,11,11,-,348,66,31.63
MR Marsh,2025-2025,10,10,-,378,81,37.80
KR Mayers,2023-2023,13,13,-,379,73,29.15
DA Miller,2025-2025,11,11,6,153,27*,30.60
A Mishra,2023-2024,8,1,-,19,19,19.00
Mohsin Khan,2022-2024,24,5,2,25,13*,8.33
Naveen-ul-Haq,2023-2024,18,6,5,18,13,18.00
D Padikkal,2024-2024,7,7,-,38,13,5.42
MK Pandey,2022-2022,6,6,-,88,38,14.66
KH Pandya,2022-2024,43,39,16,504,49*,21.91
RR Pant,2025-2025,11,10,-,128,63,12.80
N Pooran,2023-2025,40,40,10,1267,87*,42.23
Prince Yadav,2025-2025,6,2,2,5,4*,-
KL Rahul,2022-2024,38,38,4,1410,103*,41.47
DS Rathi,2025-2025,11,2,1,1,1,1.00
Ravi Bishnoi,2022-2025,53,13,5,37,13,4.62
Shahbaz Ahmed,2025-2025,1,1,-,9,9,9.00
KS Sharma,2022-2023,3,3,-,16,9,5.33
R Shepherd,2023-2023,1,1,-,-,-,-
M Siddharth,2024-2025,5,-,-,-,-,-
MP Stoinis,2022-2024,40,39,6,952,124*,28.84
Swapnil Singh,2023-2023,2,1,1,2,2*,-
SN Thakur,2025-2025,9,4,2,14,6,7.00
Yash Thakur,2023-2024,19,-,-,-,-,-
AJ Turner,2024-2024,2,2,-,21,16,10.50
AJ Tye,2022-2022,3,-,-,-,-,-
JD Unadkat,2023-2023,3,1,-,9,9,9.00
M Vohra,2022-2023,3,2,-,29,19,14.50
MA Wood,2023-2023,4,2,1,11,10*,11.00
MP Yadav,2024-2025,6,-,-,-,-,-
Yudhvir Singh,2023-2024,5,4,-,22,14,5.50
