Player,Span,Mat,Inns,NO,Runs,HS,Ave
AN Ahmed,2010-2013,10,2,2,22,18*,-
FA Allen,2022-2022,1,1,-,8,8,8.00
CJ Anderson,2014-2015,16,15,3,379,95*,31.58
Anmolpreet Singh,2021-2022,3,3,-,29,16,9.66
JC Archer,2023-2023,5,2,2,4,3*,-
Arshad Khan,2023-2023,6,3,1,18,15*,9.00
Ashwani Kumar,2025-2025,4,-,-,-,-,-
M Ashwin,2022-2022,8,5,2,12,6,4.00
Basil Thampi,2022-2022,5,-,-,-,-,-
RA Bawa,2025-2025,1,-,-,-,-,-
JP Behrendorff,2019-2023,17,2,2,6,3*,-
STR Binny,2010-2010,1,1,-,8,8,8.00
AC Blizzard,2011-2012,7,7,-,120,51,17.14
C Bosch,2025-2025,3,2,-,47,27,23.50
TA Boult,2020-2025,41,7,5,3,1*,1.50
DJ Bravo,2008-2010,30,25,4,457,70*,21.76
D Brevis,2022-2024,10,10,-,230,49,23.00
JJ Bumrah,2013-2025,141,31,24,68,16*,9.71
JC Buttler,2016-2017,24,24,3,527,77,25.09
YS Chahal,2013-2013,1,-,-,-,-,-
DL Chahar,2025-2025,12,4,3,37,28*,37.00
RD Chahar,2019-2021,39,10,3,28,10,4.00
UBT Chand,2015-2016,7,6,-,102,58,17.00
PP Chawla,2021-2024,28,11,4,40,18,5.71
SD Chitnis,2008-2008,3,2,-,18,15,9.00
G Coetzee,2024-2024,10,5,1,14,8,3.50
NM Coulter-Nile,2013-2021,13,5,1,38,24*,9.50
BCJ Cutting,2018-2019,12,9,3,114,37,19.00
A Dananjaya,2018-2018,1,1,1,4,4*,-
TH David,2022-2024,37,34,12,658,46,29.90
Q de Kock,2019-2021,43,43,4,1329,81,34.07
M de Lange,2014-2015,2,1,-,1,1,1.00
R Dhawan,2013-2013,6,4,1,21,14,7.00
S Dhawan,2009-2010,15,14,-,231,56,16.50
JP Duminy,2009-2018,26,23,8,565,62,37.66
BR Dunk,2014-2014,3,3,-,40,20,13.33
CRD Fernando,2008-2010,10,2,2,4,2*,-
AJ Finch,2015-2015,3,3,1,23,10*,11.50
JEC Franklin,2011-2012,20,16,5,327,79,29.72
CM Gautam,2014-2014,9,9,2,121,33,17.28
HH Gibbs,2012-2012,3,3,1,81,66*,40.50
S Gopal,2014-2024,9,3,1,14,11,7.00
R Goyal,2023-2023,1,-,-,-,-,-
C Green,2023-2023,16,16,7,452,100*,50.22
MJ Guptill,2016-2016,3,3,-,57,48,19.00
Harbhajan Singh,2008-2017,136,84,35,799,64,16.30
MEK Hussey,2014-2014,9,9,-,209,56,23.22
Ishan Kishan,2018-2024,89,84,6,2325,99,29.80
WG Jacks,2025-2025,11,9,1,195,53,24.37
DJ Jacobs,2011-2012,7,7,-,92,32,13.14
D Jansen,2023-2023,1,-,-,-,-,-
M Jansen,2021-2021,2,2,-,-,-,-
ST Jayasuriya,2008-2010,30,30,2,768,114*,27.42
MG Johnson,2013-2017,22,9,5,59,13*,14.75
CJ Jordan,2023-2023,6,2,-,6,4,3.00
AS Joseph,2019-2019,3,2,2,15,15*,-
A Kamboj,2024-2024,3,1,1,2,2*,-
KD Karthik,2012-2013,36,33,2,748,86,24.12
K Kartikeya,2022-2023,12,2,-,9,6,4.50
Z Khan,2009-2014,26,12,9,40,23*,13.33
MA Khote,2008-2008,4,3,1,24,9,12.00
DS Kulkarni,2008-2021,35,10,7,26,10*,8.66
P Kumar,2014-2014,3,1,-,1,1,1.00
SD Lad,2019-2019,1,1,-,15,15,15.00
RE Levi,2012-2012,6,6,-,83,50,13.83
E Lewis,2018-2019,16,16,-,430,65,26.87
CA Lynn,2021-2021,1,1,-,49,49,49.00
MJ McClenaghan,2015-2019,56,24,11,85,20,6.53
CJ McKay,2012-2012,2,1,-,8,8,8.00
R McLaren,2010-2010,10,7,4,66,40,22.00
C Madan,2010-2010,1,1,-,15,15,15.00
SL Malinga,2009-2019,122,25,9,88,17,5.50
A Madhwal,2023-2024,13,1,1,4,4*,-
KT Maphaka,2024-2024,2,-,-,-,-,-
M Markande,2018-2022,19,8,5,27,7*,9.00
GJ Maxwell,2013-2013,3,3,1,36,23,18.00
RP Meredith,2022-2023,13,2,2,-,0*,-
TS Mills,2022-2022,5,2,1,-,0*,-
