Player,Mat,inns,NO,runs,BF,HS
Shashank Singh,8,7,4,158,123,52*
SS Iyer,8,8,2,263,142,97*
N Wadhera,7,7,2,189,129,62
M Jansen,8,5,3,68,52,34*
P Arya,8,8,-,254,126,103
Prabhsimran Singh,8,8,-,209,124,69
MP Stoinis,7,6,2,67,44,34*
Azmatullah Omarzai,1,1,-,16,15,16
JP Inglis,3,3,-,45,40,29
XC Bartlett,3,1,-,11,15,11
GJ Maxwell,6,5,-,41,41,30
Suryansh Shedge,4,2,-,6,8,4
Arshdeep Singh,8,2,1,2,6,1*
LH Ferguson,4,1,1,4,1,4*
YS Chahal,8,-,-,-,0,-
Harpreet Brar,2,-,-,-,0,-
Yash Thakur,2,-,-,-,0,-
V Vyshak,1,-,-,-,0,-
Harpreet Brar,2025-2025,2,2,6.0,-,52
LH Ferguson,2025-2025,4,4,11.2,-,104
Arshdeep Singh,2025-2025,8,8,29.0,1,250
YS Chahal,2025-2025,8,8,26.0,-,242
GJ Maxwell,2025-2025,6,6,13.0,-,110
M Jansen,2025-2025,8,8,27.1,-,251
XC Bartlett,2025-2025,3,3,9.0,-,84
Yash Thakur,2025-2025,2,2,6.3,-,79
N Wadhera,2025-2025,7,1,0.5,-,9
Shashank Singh,2025-2025,8,1,2.0,-,27
V Vyshak,2025-2025,1,1,3.0,-,28
Azmatullah Omarzai,2025-2025,1,1,2.0,-,29
MP Stoinis,2025-2025,7,6,10.4,-,123
P Arya,2025-2025,8,-,0.0,-,-
JP Inglis,2025-2025,3,-,0.0,-,-
SS Iyer,2025-2025,8,-,0.0,-,-
Prabhsimran Singh,2025-2025,8,-,0.0,-,-
Suryansh Shedge,2025-2025,4,-,0.0,-,-
