Player,Span,Mat,Inns,NO,Runs,HS,Ave
PW Hasaranga,2021-2023,26,14,4,72,18,7.20
VR Aaron,2014-2016,24,5,4,41,17*,41.00
SA Abbott,2015-2015,2,2,-,15,14,7.50
Abdur Razzak,2008-2008,1,1,1,-,0*,-
AD Nath,2019-2019,8,5,-,61,24,12.20
MA Agarwal,2011-2013,29,24,1,433,64*,18.82
AN Ahmed,2014-2015,7,4,3,14,5*,14.00
Akash Deep,2022-2024,8,3,1,19,17,9.50
B Akhil,2008-2010,14,10,5,63,27*,12.60
MM Ali,2018-2020,19,17,2,309,66,20.60
CJ Anderson,2018-2018,3,3,-,17,15,5.66
Anuj Rawat,2022-2024,22,20,5,318,66,21.20
KP Appanna,2009-2012,14,3,2,2,1*,2.00
S Aravind,2011-2017,38,12,8,59,14*,14.75
KB Arun Karthik,2011-2013,16,7,2,48,19*,9.60
J Arunkumar,2008-2008,3,3,-,23,22,7.66
M Ashwin,2018-2018,2,1,-,1,1,1.00
Avesh Khan,2017-2017,1,-,-,-,-,-
S Badree,2017-2017,7,5,-,13,8,2.60
JG Bethell,2025-2025,2,2,-,67,55,33.50
MS Bhandage,2025-2025,1,1,-,1,1,1.00
KS Bharat,2021-2021,8,7,2,191,78*,38.20
RR Bhatkal,2012-2012,1,1,-,-,-,-
STR Binny,2016-2017,22,13,4,141,21,15.66
R Bishnoi,2009-2009,3,3,-,19,18,6.33
MS Bisla,2015-2015,2,2,-,37,20,18.50
MV Boucher,2008-2010,27,21,8,388,50*,29.84
MG Bracewell,2023-2023,5,4,2,58,26,29.00
YS Chahal,2014-2021,113,18,12,32,8*,5.33
S Chanderpaul,2008-2008,3,3,-,25,16,8.33
SD Chauhan,2024-2024,3,3,-,18,9,6.00
B Chipli,2008-2008,3,3,-,20,10,6.66
A Choudhary,2017-2017,5,3,2,25,15*,25.00
DT Christian,2013-2021,11,9,1,20,9,2.50
MJ Dagar,2024-2024,5,1,-,-,-,-
TH David,2021-2025,12,9,6,187,50*,62.33
C de Grandhomme,2018-2019,13,12,4,177,40,22.12
Q de Kock,2018-2018,8,8,-,201,53,25.12
AB de Villiers,2011-2021,156,144,35,4491,133*,41.20
TM Dilshan,2011-2013,25,24,3,587,76*,27.95
AB Dinda,2014-2015,11,3,2,4,2*,4.00
ND Doshi,2010-2010,1,-,-,-,-,-
R Dravid,2008-2010,43,37,3,898,75*,26.41
S Dube,2019-2020,15,13,3,169,27*,16.90
F du Plessis,2022-2024,45,45,2,1636,96,38.04
D du Preez,2009-2009,2,1,-,10,10,10.00
LH Ferguson,2024-2024,7,1,-,1,1,1.00
AJ Finch,2020-2020,12,12,-,268,52,22.33
GHS Garton,2021-2021,5,3,2,2,2*,2.00
CH Gayle,2011-2017,85,84,11,3163,175*,43.32
SP Goswami,2008-2010,7,6,-,143,52,23.83
C Green,2024-2024,13,12,4,255,46,31.87
Gurkeerat Singh,2019-2020,11,8,5,169,65,56.33
JR Hazlewood,2022-2025,25,7,7,19,7*,-
TM Head,2016-2017,10,10,3,205,75*,29.28
MC Henriques,2013-2013,10,9,5,165,44,41.25
SO Hetmyer,2019-2019,5,5,-,90,75,18.00
Iqbal Abdulla,2015-2017,15,5,3,62,33*,31.00
WG Jacks,2024-2024,8,8,1,230,100*,32.85
