Player,Span,Mat,Inns,NO,Runs,HS,Ave
VR Aaron,2019-2020,8,3,2,4,3*,4.00
Abdul Basith,2023-2023,1,1,1,1,1*,-
Akash Singh,2021-2021,1,-,-,-,-,-
Ankit Sharma,2014-2018,8,4,1,41,30,13.66
Anuj Rawat,2021-2021,2,1,-,-,-,-
Anureet Singh,2018-2018,3,1,1,3,3*,-
JC Archer,2018-2025,47,30,11,258,30,13.57
M Ashwin,2023-2023,2,-,-,-,-,-
R Ashwin,2022-2024,45,31,12,344,50,18.10
KM Asif,2023-2023,4,1,-,-,-,-
SA Asnodkar,2008-2011,20,20,-,423,60,21.15
Avesh Khan,2024-2024,16,3,3,10,7*,-
S Badree,2013-2013,1,-,-,-,-,-
R Bhatia,2014-2015,14,8,2,67,23,11.16
STR Binny,2011-2019,72,54,18,731,48*,20.30
J Botha,2009-2012,24,19,8,335,67*,30.45
TA Boult,2022-2024,42,17,12,70,17*,14.00
N Burger,2024-2024,6,-,-,-,-,-
JC Buttler,2018-2024,83,82,9,3055,124,41.84
LA Carseldine,2009-2009,5,5,1,81,39,20.25
YS Chahal,2022-2024,46,2,1,5,5,5.00
UBT Chand,2014-2014,1,1,-,2,2,2.00
A Chandila,2012-2013,12,2,2,4,4*,-
AA Chavan,2011-2013,13,3,1,12,7*,6.00
SD Chitnis,2009-2009,1,1,-,6,6,6.00
P Chopra,2018-2019,2,1,-,8,8,8.00
KK Cooper,2012-2014,25,14,5,116,32,12.88
NM Coulter-Nile,2022-2022,1,1,1,1,1*,-
TK Curran,2020-2020,5,4,3,83,54*,83.00
BCJ Cutting,2014-2014,1,1,-,8,8,8.00
TU Deshpande,2025-2025,8,4,3,7,3,7.00
P Dogra,2010-2010,9,8,-,107,41,13.37
AP Dole,2010-2010,3,2,-,34,30,17.00
ND Doshi,2011-2011,3,1,-,-,-,-
R Dravid,2011-2013,46,45,2,1276,66,29.67
S Dube,2021-2021,9,9,1,230,64*,28.75
SB Dubey,2024-2025,12,10,4,132,34*,22.00
JP Faulkner,2013-2015,42,32,15,382,46,22.47
FY Fazal,2010-2011,12,11,1,183,45,18.30
Fazalhaq Farooqi,2025-2025,4,1,1,2,2*,-
D Ferreira,2024-2024,2,2,-,8,7,4.00
AJ Finch,2010-2010,1,1,-,21,21,21.00
S Gopal,2018-2021,42,18,6,157,24,13.08
