Player,Mat,inns,NO,runs,BF,HS
H Klaasen,9,9,1,288,184,71
PHKD Mendis,3,3,1,60,47,32*
TM Head,9,9,-,261,164,67
AU Verma,9,8,1,190,118,74
Abhishek Sharma,9,9,-,240,133,141
Ishan Kishan,9,9,2,183,119,106*
K Nitish Kumar Reddy,9,8,1,152,134,32
PJ Cummins,9,7,3,65,42,22*
A Manohar,5,4,-,49,50,43
HV Patel,8,4,2,21,26,12*
Mohammed Shami,8,4,3,10,10,6*
PWA Mulder,1,1,-,9,11,9
Simarjeet Singh,4,3,1,3,7,3*
RD Chahar,1,-,-,-,0,-
E Malinga,3,-,-,-,0,-
JD Unadkat,3,-,-,-,0,-
A Zampa,2,-,-,-,0,-
Zeeshan Ansari,7,-,-,-,0,-
HV Patel,2025-2025,8,8,27.0,-,244
JD Unadkat,2025-2025,3,3,7.5,-,62
PHKD Mendis,2025-2025,3,3,5.0,-,42
E Malinga,2025-2025,3,3,11.0,-,114
PJ Cummins,2025-2025,9,9,31.4,-,304
A Zampa,2025-2025,2,2,8.0,-,94
Zeeshan Ansari,2025-2025,7,7,24.5,-,239
Mohammed Shami,2025-2025,8,8,27.0,-,289
Simarjeet Singh,2025-2025,4,4,10.0,-,141
Ishan Kishan,2025-2025,9,1,0.1,-,4
RD Chahar,2025-2025,1,1,1.0,-,9
PWA Mulder,2025-2025,1,1,1.0,-,16
Abhishek Sharma,2025-2025,9,4,8.0,-,82
TM Head,2025-2025,9,-,0.0,-,-
H Klaasen,2025-2025,9,-,0.0,-,-
A Manohar,2025-2025,5,-,0.0,-,-
K Nitish Kumar Reddy,2025-2025,9,-,0.0,-,-
AU Verma,2025-2025,9,-,0.0,-,-
