Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR
AD Russell (DC/KKR),2012-2025,139,114,21,2651,88*,28.50,1521,174.29
PD Salt (DC/KKR/RCB),2023-2025,30,30,2,892,89*,31.85,514,173.54
TM Head (RCB/SRH),2016-2025,36,35,4,1053,102,33.96,624,168.75
N Pooran (KXIP/LSG/PBKS/SRH),2019-2025,87,84,19,2179,87*,33.52,1294,168.39
SP Narine (KKR),2012-2025,188,121,21,1749,109,17.49,1053,166.09
H Klaasen (RCB/RR/SRH),2018-2025,46,42,7,1304,104,37.25,792,164.64
Abhishek Sharma (DC/SRH),2018-2025,74,71,7,1691,141,26.42,1061,159.37
LS Livingstone (PBKS/RCB/RR),2019-2025,46,45,7,1026,94,27.00,646,158.82
V Sehwag (DC/KXIP),2008-2015,104,104,5,2728,122,27.55,1755,155.44
GJ Maxwell (DC/KXIP/MI/PBKS/RCB),2012-2025,141,135,17,2819,95,23.88,1817,155.14
Prabhsimran Singh (KXIP/PBKS),2019-2025,46,46,1,1243,103,27.62,802,154.98
RM Patidar (RCB),2021-2025,38,34,1,1038,112*,31.45,673,154.23
SO Hetmyer (DC/RCB/RR),2019-2025,84,77,27,1459,75,29.18,959,152.13
AB de Villiers (DC/RCB),2008-2021,184,170,40,5162,133*,39.70,3403,151.68
YBK Jaiswal (RR),2020-2025,65,64,3,2080,124,34.09,1373,151.49
JM Sharma (PBKS/RCB),2022-2025,51,44,7,858,49*,23.18,573,149.73
JC Buttler (GT/MI/RR),2016-2025,118,117,16,4082,124,40.41,2733,149.35
CH Gayle (KKR/KXIP/PBKS/RCB),2009-2021,142,141,16,4965,175*,39.72,3333,148.96
SA Yadav (KKR/MI),2012-2025,162,147,27,4104,103*,34.20,2772,148.05
PP Shaw (DC),2018-2024,79,79,-,1892,99,23.94,1283,147.46
KA Pollard (MI),2010-2022,189,171,52,3412,87*,28.67,2316,147.32
HH Pandya (GT/MI),2015-2025,148,136,42,2683,91,28.54,1828,146.77
RR Pant (DC/LSG),2016-2025,122,120,17,3412,128*,33.12,2334,146.18
RK Singh (KKR),2018-2025,58,50,15,1090,67*,31.14,751,145.13
NT Tilak Varma (MI),2022-2025,50,47,11,1402,84*,38.94,967,144.98
JM Bairstow (PBKS/SRH),2019-2024,50,50,4,1589,114,34.54,1100,144.45
ST Jayasuriya (MI),2008-2010,30,30,2,768,114*,27.42,532,144.36
S Dube (CSK/RCB/RR),2019-2025,77,73,14,1803,95*,30.55,1254,143.77
B Sai Sudharsan (GT),2022-2025,36,36,3,1543,103,46.75,1075,143.53
YK Pathan (KKR/RR/SRH),2008-2019,174,154,44,3204,100,29.12,2241,142.97
MP Stoinis (DC/KXIP/LSG/PBKS/RCB),2016-2025,105,95,25,1948,124*,27.82,1363,142.92
R Parag (RR),2019-2025,82,70,12,1550,95,26.72,1089,142.33
JA Morkel (CSK/DC/RCB/RPS),2008-2016,91,68,28,974,73*,24.35,686,141.98
CA Lynn (DCH/KKR/MI),2012-2021,42,42,3,1329,93*,34.07,945,140.63
DA Warner (DC/SRH),2009-2024,184,184,22,6565,126,40.52,4697,139.77
