Player,Span,Mat,Inns,NO,Runs,Ducks
GJ Maxwell (DC/KXIP/MI/PBKS/RCB),2012-2025,141,135,17,2819,95
KD Karthik (DC/GL/KKR/KXIP/MI/RCB),2008-2024,257,234,50,4842,97*
RG Sharma (DCH/MI),2008-2025,269,264,30,6933,109*
SP Narine (KKR),2012-2025,188,121,21,1749,109
Rashid Khan (GT/SRH),2017-2025,134*,65,24,569,79*
PP Chawla (CSK/KKR/KXIP/MI),2008-2024,192,92,36,624,24*
Mandeep Singh (DC/KKR/KXIP/PBKS/RCB),2010-2023,111,98,16,1706,77*
MK Pandey (DC/KKR/LSG/MI/PWI/RCB/SRH),2008-2025,173,161,28,3905,114*
AT Rayudu (CSK/MI),2010-2023,204,187,33,4348,100*
Harbhajan Singh (CSK/KKR/MI),2008-2021,163,90,37,833,64
PA Patel (CSK/DCH/Kochi/MI/RCB/SRH),2008-2019,139,137,11,2848,81
AM Rahane (CSK/DC/KKR/MI/RPS/RR),2008-2025,197,182,18,5017,105*
R Ashwin (CSK/DC/KXIP/RPS/RR),2009-2025,221,98,34,833,50
G Gambhir (DC/KKR),2008-2018,154,152,16,4217,93
SV Samson (DC/RR),2013-2025,177,172,20,4704,119
DA Warner (DC/SRH),2009-2024,184,184,22,6565,126
S Dhawan (DC/DCH/MI/PBKS/SRH),2008-2024,222,221,29,6769,106*
A Mishra (DC/DCH/LSG/SRH),2008-2024,162,57,25,381,31
SA Yadav (KKR/MI),2012-2025,163,148,28,4177,103*
AB de Villiers (DC/RCB),2008-2021,184,170,40,5162,133*
V Kohli (RCB),2008-2025,263,255,40,8509,113*
HV Patel (DC/PBKS/RCB/SRH),2012-2025,117,46,17,270,36*
CH Morris (CSK/DC/RCB/RR),2013-2021,81,51,23,618,82*
P Kumar (GL/KXIP/MI/RCB/SRH),2008-2017,119,59,21,340,34
N Pooran (KXIP/LSG/PBKS/SRH),2019-2025,89*,86,20,2280,87*
MP Stoinis (DC/KXIP/LSG/PBKS/RCB),2016-2025,104,95,25,1948,124*
JH Kallis (KKR/RCB),2008-2014,98,96,11,2427,89*
Ishan Kishan (GL/MI/SRH),2016-2025,117,110,8,2875,106*
YK Pathan (KKR/RR/SRH),2008-2019,174,154,44,3204,100
RA Jadeja (CSK/GL/Kochi/RR),2008-2025,253,197,80,3239,77*
R Sharma (DC/DCH/PWI),2010-2014,44,20,6,66,14*
RD Chahar (MI/PBKS/RPS/SRH),2017-2025,79,24,8,129,25*
SN Thakur (CSK/DC/KKR/KXIP/LSG/RPS),2015-2025,105,42,14,325,68
UT Yadav (DC/GT/KKR/RCB),2010-2024,148,52,31,208,24*
MK Tiwary (DC/KKR/KXIP/RPS),2008-2018,98,85,26,1695,75*
DR Smith (CSK/DCH/GL/MI),2008-2017,91,89,5,2385,87*
AJ Finch (DC/GL/KKR/KXIP/MI/PWI/RCB/RR/SRH),2010-2022,92,90,7,2091,88*
NV Ojha (DC/RR/SRH),2009-2018,113,94,19,1554,94*
